unit_no,RUL_true,RUL_pred_005,RUL_pred_05,RUL_pred_095,RUL
34.0,7.0,6.7656617,4.7854476,14.118735,7
31.0,8.0,10.5282,10.457441,23.98618,8
81.0,8.0,5.5307837,9.406056,17.052233,8
68.0,8.0,1.8151128,10.874952,23.704563,8
82.0,9.0,4.0875316,8.609603,20.19733,9
76.0,10.0,2.7495067,9.198091,15.685215,10
42.0,10.0,13.658359,18.109686,41.340588,10
35.0,11.0,7.125287,13.775544,19.511396,11
66.0,14.0,11.255781,18.93787,30.275566,14
56.0,15.0,18.928196,14.525167,21.842733,15
20.0,16.0,6.927715,12.351516,23.71786,16
41.0,18.0,37.646564,23.426376,70.36469,18
36.0,19.0,14.381489,23.252707,16.21374,19
24.0,20.0,12.982153,22.06489,54.549114,20
92.0,20.0,11.429204,22.71687,29.186443,20
100.0,20.0,15.592304,24.469059,43.585915,20
37.0,21.0,37.41107,53.831036,103.61843,21
49.0,21.0,18.643902,21.268002,26.7649,21
61.0,21.0,15.908426,22.475796,39.135746,21
53.0,26.0,31.70665,37.502174,47.056324,26
90.0,28.0,12.084837,31.901129,27.757528,28
40.0,28.0,27.83436,32.97003,37.755524,28
64.0,28.0,28.016869,31.568672,55.10594,28
18.0,28.0,36.161095,60.73161,128.69186,28
52.0,29.0,24.838606,43.70947,63.66529,29
77.0,34.0,39.6034,49.80431,65.11097,34
58.0,37.0,36.798393,48.31648,68.575966,37
91.0,38.0,17.166824,21.757576,29.520897,38
46.0,47.0,31.908371,42.679626,75.464714,47
32.0,48.0,38.444576,55.408882,104.761406,48
38.0,50.0,38.981953,56.860126,49.36239,50
17.0,50.0,65.60285,52.45431,57.53242,50
72.0,50.0,58.478306,77.88023,113.753105,50
62.0,54.0,37.498077,49.894333,54.142017,54
94.0,55.0,45.323895,67.85529,95.79886,55
21.0,57.0,62.69518,71.06225,105.87038,57
84.0,58.0,42.464195,86.02862,144.83765,58
43.0,59.0,45.216938,81.19732,141.93814,59
98.0,59.0,49.55583,76.17229,118.05408,59
79.0,63.0,72.41599,126.145325,186.64171,63
27.0,66.0,76.58633,112.96692,208.4465,66
3.0,69.0,36.45939,71.43373,114.86087,69
63.0,72.0,50.08821,103.46794,129.80368,72
67.0,77.0,76.89399,109.29557,264.17685,77
50.0,79.0,68.76688,101.980064,217.85452,79
4.0,82.0,61.83063,109.707245,125.23553,82
97.0,82.0,66.64702,85.053185,107.29972,82
15.0,83.0,95.08498,117.84139,256.54636,83
16.0,84.0,86.556885,104.94897,222.44684,84
93.0,85.0,24.405659,40.817776,52.124176,85
19.0,87.0,83.99323,105.8823,205.6941,87
86.0,89.0,63.08274,108.241104,168.5783,89
80.0,90.0,51.99566,95.97884,143.65736,90
29.0,90.0,75.24911,108.23359,220.82379,90
5.0,91.0,56.911446,101.08268,178.6919,91
7.0,91.0,77.879,95.74881,181.34608,91
48.0,92.0,77.21033,111.69666,179.20827,92
6.0,93.0,68.58514,106.94937,176.43729,93
70.0,94.0,60.204742,107.558754,181.25645,94
8.0,95.0,64.26895,95.87382,138.52003,95
13.0,95.0,63.226837,99.6702,211.39592,95
10.0,96.0,67.81683,98.63472,201.7727,96
11.0,97.0,51.92007,92.79872,122.211395,97
54.0,97.0,103.88502,136.92873,213.04466,97
28.0,97.0,70.107056,123.29292,181.11818,97
2.0,98.0,73.50562,121.50446,184.65005,98
60.0,100.0,57.17127,94.38998,189.90334,100
57.0,103.0,48.603077,99.55773,122.82752,103
33.0,106.0,59.038197,111.25362,131.74689,106
78.0,107.0,121.03962,174.21089,192.15364,107
14.0,107.0,57.979397,111.22288,176.75359,107
44.0,109.0,71.449745,135.00587,186.37155,109
9.0,111.0,68.8351,118.005264,189.83351,111
22.0,111.0,78.75524,136.74263,200.7775,111
1.0,112.0,90.76124,136.82964,227.4095,112
23.0,113.0,101.54641,139.71768,220.49666,113
75.0,113.0,73.148415,105.73772,175.42271,113
45.0,114.0,42.846172,79.85357,96.04746,114
51.0,114.0,68.66481,121.09636,162.25064,114
59.0,114.0,98.85119,121.78733,215.05923,114
30.0,115.0,63.042946,111.255806,156.24826,115
88.0,115.0,60.26292,133.49123,129.53493,115
87.0,116.0,84.60478,125.23342,227.33884,116
99.0,117.0,108.459435,143.86485,188.39928,117
71.0,118.0,82.31245,99.03451,177.25085,118
85.0,118.0,82.89307,127.66383,172.29306,118
26.0,119.0,93.47806,107.945,205.80351,119
69.0,121.0,83.96453,129.81532,167.41382,121
12.0,124.0,54.303524,98.61385,179.70409,124
74.0,126.0,64.92244,114.93456,193.11836,126
95.0,128.0,81.10171,121.370125,189.51093,128
65.0,128.0,112.41717,135.72893,184.10915,128
73.0,131.0,84.9442,113.88773,211.73953,131
47.0,135.0,57.49062,100.52179,161.66597,135
89.0,136.0,71.44798,126.26409,170.21129,136
55.0,137.0,86.06426,117.59222,192.85179,137
96.0,137.0,102.21006,108.51018,179.38643,137
83.0,137.0,79.02374,122.03,268.70758,137
39.0,142.0,99.895874,136.71078,204.14914,142
25.0,145.0,95.67792,133.16692,219.82202,145
