unit_id,true_rul_at_end,failure_cycle,alarm_cycle,lead_time_cycles,alarm_fired,detected_early,needs_maintenance
1,112.0,143.0,,,False,False,False
2,98.0,147.0,,,False,False,False
3,69.0,195.0,120.0,75.0,True,True,False
4,82.0,188.0,,,False,False,False
5,91.0,189.0,,,False,False,False
6,93.0,198.0,,,False,False,False
7,91.0,251.0,,,False,False,False
8,95.0,261.0,,,False,False,False
9,111.0,166.0,,,False,False,False
10,96.0,288.0,,,False,False,False
11,97.0,180.0,,,False,False,False
12,124.0,341.0,,,False,False,False
13,95.0,290.0,,,False,False,False
14,107.0,153.0,,,False,False,False
15,83.0,159.0,,,False,False,False
16,84.0,197.0,,,False,False,False
17,50.0,215.0,158.0,57.0,True,True,False
18,28.0,161.0,119.0,42.0,True,True,True
19,87.0,222.0,,,False,False,False
20,16.0,200.0,130.0,70.0,True,True,True
21,57.0,205.0,,,False,False,False
22,111.0,150.0,,,False,False,False
23,113.0,243.0,,,False,False,False
24,20.0,206.0,145.0,61.0,True,True,True
25,125.0,173.0,,,False,False,False
26,119.0,195.0,,,False,False,False
27,66.0,206.0,,,False,False,False
28,97.0,255.0,,,False,False,False
29,90.0,261.0,,,False,False,False
30,115.0,258.0,,,False,False,False
31,8.0,204.0,132.0,72.0,True,True,True
32,48.0,193.0,134.0,59.0,True,True,False
33,106.0,156.0,,,False,False,False
34,7.0,210.0,158.0,52.0,True,True,True
35,11.0,209.0,133.0,76.0,True,True,True
36,19.0,145.0,103.0,42.0,True,True,True
37,21.0,142.0,105.0,37.0,True,True,True
38,50.0,175.0,119.0,56.0,True,True,False
39,125.0,162.0,,,False,False,False
40,28.0,161.0,104.0,57.0,True,True,True
41,18.0,141.0,110.0,31.0,True,True,True
42,10.0,166.0,117.0,49.0,True,True,True
43,59.0,231.0,172.0,59.0,True,True,False
44,109.0,163.0,,,False,False,False
45,114.0,266.0,,,False,False,False
46,47.0,193.0,130.0,63.0,True,True,False
47,125.0,198.0,,,False,False,False
48,92.0,170.0,,,False,False,False
49,21.0,324.0,268.0,56.0,True,True,True
50,79.0,153.0,,,False,False,False
51,114.0,258.0,,,False,False,False
52,29.0,218.0,171.0,47.0,True,True,True
53,26.0,190.0,134.0,56.0,True,True,True
54,97.0,218.0,,,False,False,False
55,125.0,238.0,,,False,False,False
56,15.0,151.0,97.0,54.0,True,True,True
57,103.0,263.0,,,False,False,False
58,37.0,213.0,151.0,62.0,True,True,False
59,114.0,208.0,,,False,False,False
60,100.0,247.0,,,False,False,False
61,21.0,180.0,119.0,61.0,True,True,True
62,54.0,286.0,228.0,58.0,True,True,False
63,72.0,227.0,139.0,88.0,True,True,False
64,28.0,196.0,144.0,52.0,True,True,True
65,125.0,196.0,,,False,False,False
66,14.0,161.0,113.0,48.0,True,True,True
67,77.0,148.0,,,False,False,False
68,8.0,195.0,160.0,35.0,True,True,True
69,121.0,175.0,,,False,False,False
70,94.0,246.0,,,False,False,False
71,118.0,186.0,,,False,False,False
72,50.0,181.0,,,False,False,False
73,125.0,237.0,,,False,False,False
74,125.0,262.0,,,False,False,False
75,113.0,201.0,,,False,False,False
76,10.0,215.0,165.0,50.0,True,True,True
77,34.0,196.0,160.0,36.0,True,True,False
78,107.0,179.0,,,False,False,False
79,63.0,164.0,,,False,False,False
80,90.0,223.0,,,False,False,False
81,8.0,221.0,126.0,95.0,True,True,True
82,9.0,171.0,138.0,33.0,True,True,True
83,125.0,198.0,,,False,False,False
84,58.0,230.0,152.0,78.0,True,True,False
85,118.0,152.0,,,False,False,False
86,89.0,199.0,,,False,False,False
87,116.0,172.0,,,False,False,False
88,115.0,183.0,,,False,False,False
89,125.0,302.0,,,False,False,False
90,28.0,174.0,125.0,49.0,True,True,True
91,38.0,272.0,195.0,77.0,True,True,False
92,20.0,170.0,120.0,50.0,True,True,True
93,85.0,329.0,223.0,106.0,True,True,False
94,55.0,188.0,,,False,False,False
95,125.0,214.0,,,False,False,False
96,125.0,222.0,,,False,False,False
97,82.0,216.0,,,False,False,False
98,59.0,180.0,,,False,False,False
99,117.0,214.0,,,False,False,False
100,20.0,218.0,162.0,56.0,True,True,True
1,18.0,276.0,197.0,79.0,True,True,True
2,79.0,134.0,,,False,False,False
3,106.0,271.0,,,False,False,False
4,110.0,196.0,,,False,False,False
5,15.0,163.0,116.0,47.0,True,True,True
6,125.0,188.0,,,False,False,False
7,6.0,190.0,139.0,51.0,True,True,True
8,90.0,263.0,,,False,False,False
9,11.0,172.0,135.0,37.0,True,True,True
10,79.0,163.0,,,False,False,False
11,6.0,168.0,128.0,40.0,True,True,True
12,73.0,147.0,,,False,False,False
13,30.0,194.0,150.0,44.0,True,True,True
14,11.0,171.0,109.0,62.0,True,True,True
15,37.0,202.0,159.0,43.0,True,True,False
16,67.0,155.0,,,False,False,False
17,68.0,332.0,,,False,False,False
18,99.0,139.0,,,False,False,False
19,22.0,194.0,123.0,71.0,True,True,True
20,54.0,155.0,,,False,False,False
21,97.0,225.0,,,False,False,False
22,10.0,169.0,116.0,53.0,True,True,True
23,125.0,174.0,,,False,False,False
24,77.0,287.0,,,False,False,False
25,88.0,235.0,,,False,False,False
26,125.0,201.0,,,False,False,False
27,125.0,193.0,,,False,False,False
28,125.0,148.0,,,False,False,False
29,83.0,184.0,,,False,False,False
30,78.0,262.0,178.0,84.0,True,True,False
31,75.0,198.0,,,False,False,False
32,11.0,181.0,143.0,38.0,True,True,True
33,53.0,188.0,131.0,57.0,True,True,False
34,125.0,177.0,,,False,False,False
35,63.0,140.0,,,False,False,False
36,100.0,263.0,,,False,False,False
37,125.0,174.0,,,False,False,False
38,55.0,182.0,,,False,False,False
39,48.0,197.0,122.0,75.0,True,True,False
40,37.0,220.0,149.0,71.0,True,True,False
41,44.0,254.0,173.0,81.0,True,True,False
42,27.0,164.0,117.0,47.0,True,True,True
43,18.0,202.0,147.0,55.0,True,True,True
44,6.0,170.0,121.0,49.0,True,True,True
45,15.0,210.0,129.0,81.0,True,True,True
46,112.0,244.0,,,False,False,False
47,125.0,206.0,,,False,False,False
48,13.0,145.0,107.0,38.0,True,True,True
49,122.0,187.0,,,False,False,False
50,13.0,177.0,121.0,56.0,True,True,True
51,98.0,135.0,,,False,False,False
52,53.0,218.0,129.0,89.0,True,True,False
53,52.0,201.0,133.0,68.0,True,True,False
54,106.0,180.0,,,False,False,False
55,103.0,226.0,,,False,False,False
56,125.0,198.0,,,False,False,False
57,123.0,199.0,,,False,False,False
58,26.0,273.0,189.0,84.0,True,True,True
59,125.0,147.0,,,False,False,False
60,73.0,217.0,,,False,False,False
61,125.0,195.0,,,False,False,False
62,39.0,244.0,165.0,79.0,True,True,False
63,39.0,213.0,164.0,49.0,True,True,False
64,14.0,247.0,154.0,93.0,True,True,True
65,11.0,378.0,291.0,87.0,True,True,True
66,121.0,184.0,,,False,False,False
67,86.0,232.0,,,False,False,False
68,56.0,274.0,182.0,92.0,True,True,False
69,115.0,273.0,,,False,False,False
70,17.0,281.0,215.0,66.0,True,True,True
71,125.0,190.0,,,False,False,False
72,104.0,247.0,,,False,False,False
73,78.0,229.0,,,False,False,False
74,86.0,189.0,,,False,False,False
75,98.0,290.0,,,False,False,False
76,36.0,258.0,207.0,51.0,True,True,False
77,94.0,161.0,,,False,False,False
78,52.0,180.0,,,False,False,False
79,91.0,204.0,,,False,False,False
80,15.0,293.0,207.0,86.0,True,True,True
81,125.0,201.0,,,False,False,False
82,74.0,170.0,,,False,False,False
83,125.0,146.0,,,False,False,False
84,17.0,221.0,181.0,40.0,True,True,True
85,47.0,230.0,171.0,59.0,True,True,False
86,125.0,208.0,,,False,False,False
87,21.0,152.0,114.0,38.0,True,True,True
88,79.0,245.0,149.0,96.0,True,True,False
89,97.0,156.0,,,False,False,False
90,8.0,171.0,128.0,43.0,True,True,True
91,9.0,287.0,122.0,165.0,True,True,True
92,73.0,196.0,,,False,False,False
93,125.0,201.0,,,False,False,False
94,97.0,214.0,,,False,False,False
95,73.0,151.0,,,False,False,False
