unit_no,RUL_true,RUL_pred_005,RUL_pred_05,RUL_pred_095
1.0,112.0,90.76124,136.82964,227.4095
2.0,116.0,71.3238,133.04211,191.63533
2.0,115.0,75.19289,132.51733,162.07578
2.0,114.0,84.96961,123.89687,185.69827
2.0,113.0,71.11426,125.84001,180.0501
2.0,112.0,108.72971,131.59856,192.87627
2.0,111.0,79.93748,128.46722,187.70753
2.0,110.0,84.13009,131.39459,175.1329
2.0,109.0,92.098694,137.41797,215.57312
2.0,108.0,83.75282,138.30464,162.2968
2.0,107.0,80.363014,133.2392,170.17502
2.0,106.0,86.547226,122.946304,182.80302
2.0,105.0,80.615555,134.95409,186.69456
2.0,104.0,70.93426,104.47704,179.73318
2.0,103.0,71.3012,123.109856,168.8908
2.0,102.0,59.255123,120.155075,144.35979
2.0,101.0,75.17337,120.84248,186.4524
2.0,100.0,67.6039,107.69539,196.97235
2.0,99.0,74.96497,127.75227,188.97778
2.0,98.0,73.50562,121.50446,184.65005
3.0,164.0,71.54238,105.66648,218.09047
3.0,163.0,63.60989,97.931,185.70132
3.0,162.0,73.16773,118.874176,165.40096
3.0,161.0,62.67965,102.8084,128.7422
3.0,160.0,64.35148,94.934296,180.17148
3.0,159.0,78.27257,92.264565,140.55574
3.0,158.0,69.60147,98.64605,157.80986
3.0,157.0,83.96356,103.55807,161.7185
3.0,156.0,60.456387,117.86712,172.96129
3.0,155.0,64.598915,113.28738,156.19289
3.0,154.0,57.66999,113.336586,166.32747
3.0,153.0,67.48498,110.444626,144.85127
3.0,152.0,71.07528,115.27492,185.97777
3.0,151.0,77.68565,114.93704,202.55025
3.0,150.0,72.65687,124.888374,155.8597
3.0,149.0,84.37731,110.69716,153.58865
3.0,148.0,72.07478,109.67099,193.64572
3.0,147.0,60.759167,108.034706,220.098
3.0,146.0,66.36151,128.28925,174.22488
3.0,145.0,66.0595,124.5418,148.1679
3.0,144.0,60.66202,118.974525,172.98828
3.0,143.0,65.0697,122.600204,153.54881
3.0,142.0,64.89631,114.79896,225.15686
3.0,141.0,69.56172,122.190475,161.71423
3.0,140.0,78.01987,117.037766,163.0687
3.0,139.0,64.856476,115.64291,185.9714
3.0,138.0,64.81662,120.23566,186.41357
3.0,137.0,72.644226,113.41529,177.2591
3.0,136.0,67.31484,100.73536,147.88466
3.0,135.0,67.36679,112.169266,152.81833
3.0,134.0,62.720875,107.4509,173.53378
3.0,133.0,67.141754,119.05682,173.47545
3.0,132.0,74.09189,121.36689,163.54842
3.0,131.0,62.00067,107.08427,183.51779
3.0,130.0,58.580658,111.8769,133.35783
3.0,129.0,62.080093,114.23597,215.58842
3.0,128.0,56.21107,119.84034,161.22012
3.0,127.0,65.61626,120.66896,172.59666
3.0,126.0,65.0588,116.159485,187.79678
3.0,125.0,59.129166,115.088646,196.98155
3.0,124.0,61.69415,118.40821,172.26839
3.0,123.0,87.6844,116.66248,170.37944
3.0,122.0,70.37749,113.6204,164.68398
3.0,121.0,60.269768,112.1419,159.03036
3.0,120.0,61.82621,120.09963,175.12508
3.0,119.0,68.92484,108.9009,156.96783
3.0,118.0,54.09668,108.08367,177.36122
3.0,117.0,67.62315,99.70906,157.98549
3.0,116.0,58.180233,118.03767,179.1449
3.0,115.0,56.68877,111.59255,135.75464
3.0,114.0,63.74697,99.481575,149.51161
3.0,113.0,63.79603,114.377,170.37823
3.0,112.0,64.77398,119.05037,176.79166
3.0,111.0,74.95457,113.90069,143.25966
3.0,110.0,66.85572,119.2356,151.60826
3.0,109.0,59.389267,123.884796,170.76869
3.0,108.0,70.2529,121.95038,170.68027
3.0,107.0,63.663895,106.30284,180.89247
3.0,106.0,56.01539,98.00942,136.25404
3.0,105.0,63.63506,99.91933,120.13999
3.0,104.0,60.301342,109.918236,121.95015
3.0,103.0,60.512787,115.25699,180.31834
3.0,102.0,67.107956,103.90329,173.52614
3.0,101.0,66.33083,112.76267,161.32211
3.0,100.0,59.3257,107.8303,159.12201
3.0,99.0,59.46697,107.830086,163.11299
3.0,98.0,62.82475,110.984764,142.83456
3.0,97.0,58.85027,103.50144,177.66866
3.0,96.0,59.508453,122.40921,177.73169
3.0,95.0,68.67632,109.012505,148.46683
3.0,94.0,94.64423,116.020195,148.56456
3.0,93.0,56.74627,112.09131,160.24979
3.0,92.0,59.15101,100.31965,147.28648
3.0,91.0,63.503742,107.005,145.76924
3.0,90.0,58.619766,107.376526,163.74103
3.0,89.0,47.00444,102.975624,156.83585
3.0,88.0,60.06585,94.90523,118.02623
3.0,87.0,57.080418,108.004395,138.77864
3.0,86.0,56.554752,90.73191,142.1642
3.0,85.0,61.671383,97.043655,138.06824
3.0,84.0,68.026665,113.85426,131.44571
3.0,83.0,56.64816,88.54408,129.57532
3.0,82.0,43.611465,90.467705,108.232956
3.0,81.0,44.575268,80.54041,132.92746
3.0,80.0,36.240654,79.69101,101.62008
3.0,79.0,53.97828,74.039024,96.84915
3.0,78.0,50.092365,70.93624,127.04979
3.0,77.0,43.694847,66.262085,107.66494
3.0,76.0,49.37854,69.956604,114.10986
3.0,75.0,49.47959,82.43106,101.68109
3.0,74.0,45.53387,67.75455,101.31098
3.0,73.0,51.809914,66.32982,86.180305
3.0,72.0,40.072075,69.12938,106.14865
3.0,71.0,42.47806,67.08645,71.08326
3.0,70.0,39.264923,83.87836,104.96461
