unit_no,lead_time,t_true_crossing,t_pred_crossing,unit_mae,pred_never_crosses,model,test_ds
37.0,46,81,35,38.40351352455852,False,individual_FD001,FD001
41.0,27,80,53,26.488506142811108,False,individual_FD001,FD001
42.0,39,105,66,38.273474780340045,False,individual_FD001,FD001
18.0,37,100,63,25.947864180629693,False,ensemble,FD001
24.0,40,145,105,49.15171121328305,False,ensemble,FD001
34.0,30,149,119,47.72456473697817,False,ensemble,FD001
37.0,15,81,66,21.0388623384329,False,ensemble,FD001
41.0,20,80,60,27.02137347190611,False,ensemble,FD001
42.0,28,105,77,26.097741437336754,False,ensemble,FD001
52.0,16,157,141,27.81446251179437,False,ensemble,FD001
53.0,43,129,86,37.574344873428345,False,ensemble,FD001
61.0,27,119,92,39.40404130137244,False,ensemble,FD001
82.0,40,110,70,47.6607522241997,False,ensemble,FD001
100.0,32,157,125,46.42092968736376,False,ensemble,FD001
11.0,21,107,86,36.194238967967756,False,individual_FD002,FD002
111.0,7,79,72,15.155405573178045,False,individual_FD002,FD002
120.0,33,114,81,43.85774950706042,False,individual_FD002,FD002
146.0,52,93,41,46.562285158194996,False,individual_FD002,FD002
209.0,63,93,30,30.883171173015445,False,individual_FD002,FD002
11.0,72,107,35,43.47176871064937,False,ensemble,FD002
48.0,83,84,1,46.944122351852116,False,ensemble,FD002
87.0,91,91,0,48.265679758374056,False,ensemble,FD002
102.0,69,69,0,48.62889606246482,False,ensemble,FD002
111.0,62,79,17,27.488032104945418,False,ensemble,FD002
120.0,114,114,0,49.44581049038813,False,ensemble,FD002
146.0,81,93,12,42.43752497539186,False,ensemble,FD002
182.0,87,87,0,49.93983372014303,False,ensemble,FD002
209.0,89,93,4,40.831277875617,False,ensemble,FD002
26.0,42,80,38,43.358584907054905,False,individual_FD003,FD003
46.0,12,126,114,36.53132435480754,False,ensemble,FD003
81.0,9,109,100,30.88283171081543,False,ensemble,FD003
82.0,24,139,115,46.83513184000806,False,ensemble,FD003
65.0,20,137,117,32.54285755829933,False,individual_FD004,FD004
77.0,43,72,29,43.862448799304474,False,individual_FD004,FD004
103.0,63,93,30,44.44154915242739,False,individual_FD004,FD004
174.0,23,84,61,33.92932936804635,False,individual_FD004,FD004
